Product,SKU,Inventory Item ID,Quantity
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110-8ss-00030,gid://shopify/InventoryItem/46880545407045,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (TOPAZ)",11110-8ss-10070,gid://shopify/InventoryItem/46944122765381,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110-8ss-10220,gid://shopify/InventoryItem/46944122798149,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110-8ss-20020,gid://shopify/InventoryItem/46944122830917,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (AMETHYST)",11110-8ss-20050,gid://shopify/InventoryItem/46944122863685,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (JET BLACK)",11110-8ss-23980,gid://shopify/InventoryItem/46944122896453,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110-8ss-30020,gid://shopify/InventoryItem/46944122929221,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110-8ss-30050,gid://shopify/InventoryItem/46944122961989,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110-8ss-30080,gid://shopify/InventoryItem/46947909304389,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110-8ss-30340,gid://shopify/InventoryItem/46944122994757,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110-10ss-00030,gid://shopify/InventoryItem/46945634254917,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (TOPAZ)",11110-10ss-10070,gid://shopify/InventoryItem/46945634287685,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110-10ss-10220,gid://shopify/InventoryItem/46945634320453,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110-10ss-20020,gid://shopify/InventoryItem/46945634353221,15
