id,title,current_alt,proposed_alt
gid://shopify/Product/8037956976709,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss
gid://shopify/Product/8057805340741,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss
gid://shopify/Product/8057814515781,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss
gid://shopify/Product/8057824280645,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss
gid://shopify/Product/8058334281797,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss
gid://shopify/Product/8058450149445,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs),,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss
gid://shopify/Product/8058589118533,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs),,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss
gid://shopify/Product/8058617069637,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs),,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss
gid://shopify/Product/8058779238469,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss
gid://shopify/Product/8059406450757,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss
gid://shopify/Product/8059896889413,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss
gid://shopify/Product/8059898134597,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss
gid://shopify/Product/8059902591045,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs)",,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss
gid://shopify/Product/8059904458821,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs),,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss
gid://shopify/Product/8059905081413,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs),,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss
gid://shopify/Product/8059913830469,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs),,Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss
gid://shopify/Product/8066487386181,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, SAPPHIRE & ERINITE)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Sapphire & Erinite)"
gid://shopify/Product/8067161522245,FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL & AQUAMARINE),,Faceted Czech Glass Fire Polished Multi Color Beads (Crystal & Aquamarine)
gid://shopify/Product/8067213262917,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, TOPAZ & SMOKE TOPAZ)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Topaz & Smoke Topaz)"
