id,title,current_handle,proposed_handle,title_signature,handle_signature,flagged_reason
gid://shopify/Product/8037956976709,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs)",preciosa-extra-2-cut-chaton-rose-8ss,preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-8ss-10-gross-1-440-pcs,"(('8',), ('10',), ('1440',))","(('8',), (), ())",size/qty mismatch
gid://shopify/Product/8057805340741,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs)",preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-10ss-10-gross-1-440-pcs-copy,preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-10ss-10-gross-1-440-pcs,"(('10',), ('10',), ('1440',))","(('10',), ('10',), ('1440',))", + copy-suffix
gid://shopify/Product/8057814515781,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs)",preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-12ss-10-gross-1-440-pcs-copy,preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-12ss-10-gross-1-440-pcs,"(('12',), ('10',), ('1440',))","(('12',), ('10',), ('1440',))", + copy-suffix
gid://shopify/Product/8058334281797,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs)",preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-16ss-10-gross-1-440-pcs-copy,preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-20ss-10-gross-1-440-pcs,"(('20',), ('10',), ('1440',))","(('16',), ('10',), ('1440',))",size/qty mismatch + copy-suffix
gid://shopify/Product/8058450149445,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs),preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-20ss-10-gross-1-440-pcs-copy,preciosa-jablonex-extra-2-cut-glass-chaton-rose-flatback-rhinestones-30ss-2-gross-288-pcs,"(('30',), ('2',), ('288',))","(('20',), ('10',), ('1440',))",size/qty mismatch + copy-suffix
gid://shopify/Product/8068399169605,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, ERINITE & LIGHT SIAM)",faceted-czech-glass-fire-polished-multi-color-beads-crystal-aqua-topaz-copy,faceted-czech-glass-fire-polished-multi-color-beads-crystal-erinite-light-siam,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8068891148357,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, PINK & FUCHSIA)",faceted-czech-glass-fire-polished-multi-color-beads-crystal-pink-fuchsia-copy,faceted-czech-glass-fire-polished-multi-color-beads-crystal-pink-fuchsia,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8070078103621,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - GREEN AGATE - MALACHITE,faceted-czech-glass-fire-polished-agate-color-beads-grey-horn-agate-copy,faceted-czech-glass-fire-polished-agate-color-beads-green-agate-malachite,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8074287644741,FACETED CZECH GLASS FIRE POLISHED BEADS  - DARK TOPAZ WITH HALF SILVER COATING,faceted-czech-glass-fire-polished-agate-color-beads-brown-horn-agate-copy,faceted-czech-glass-fire-polished-beads-dark-topaz-with-half-silver-coating,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8074772709445,FACETED CZECH GLASS FIRE POLISHED BEADS  - BLUE ZIRCON WITH HALF SILVER COATING,faceted-czech-glass-fire-polished-beads-dark-aqua-with-half-silver-coating-copy,faceted-czech-glass-fire-polished-beads-blue-zircon-with-half-silver-coating,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8078109835333,3 CUT 9/0 AMETHYST TRANSPARENT LUSTER PRECIOSA ORNELA BEADS,3-cut-9-0-amethyst-transparent-luster-preciosa-ornela-beads-copy,3-cut-9-0-amethyst-transparent-luster-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8078121730117,3 CUT 9/0 LIGHT SAPPHIRE TRANSPARENT LUSTER PRECIOSA ORNELA BEADS,3-cut-9-0-crystal-transparent-luster-preciosa-ornela-beads-copy,3-cut-9-0-light-sapphire-transparent-luster-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8078188052549,3 CUT 9/0 CRYSTAL TRANSPARENT LUSTER PRECIOSA ORNELA BEADS,3-cut-9-0-crystal-transparent-luster-preciosa-ornela-beads-copy-1,3-cut-9-0-crystal-transparent-luster-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8078194966597,3 CUT 9/0 GREEN TRANSPARENT LUSTER PRECIOSA ORNELA BEADS,3-cut-9-0-green-transparent-luster-preciosa-ornela-beads-copy,3-cut-9-0-green-transparent-luster-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8080138240069,3 CUT 9/0 DARK TOPAZ TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-dark-topaz-transparent-silver-lined-preciosa-ornela-beads-copy,3-cut-9-0-dark-topaz-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
