id,title,missing_seo_title,missing_seo_description
gid://shopify/Product/8115429113925,Vintage Western German Plexy Faceted Beads - FUCHSIA AB,,yes
gid://shopify/Product/8121788203077,Vintage Western German Plexy Faceted Beads - PLUM AB,,yes
gid://shopify/Product/8121793871941,Vintage Western German Plexy Faceted Beads - ROYAL BLUE AB,,yes
gid://shopify/Product/8121810092101,Vintage Western German Plexy Faceted Beads - SMOKE TOPAZ AB,,yes
gid://shopify/Product/8121821397061,Vintage Western German Plexy Beads - IVORY POWDERED WITH GOLD RUFFLE,,yes
gid://shopify/Product/8122133413957,Vintage Western German Plexy Beads - LIGHT GREEN WITH GOLD RUFFLE,,yes
gid://shopify/Product/8122140098629,Vintage Western German Plexy Beads - PINK WITH GOLD RUFFLE,,yes
gid://shopify/Product/8122151567429,Vintage Western German Plexy Beads - SOFT BLACK RUFFLE,,yes
gid://shopify/Product/8122156187717,Vintage Western German Plexy Beads - SOFT GOLD RUFFLE,,yes
gid://shopify/Product/8129324056645,Chunky Rondelle Large Hole Lampwork Glass Beads - P12002,,yes
gid://shopify/Product/8129388150853,Chunky Rondelle Large Hole Lampwork Glass Beads - P12004,,yes
gid://shopify/Product/8129391296581,Chunky Rondelle Large Hole Lampwork Glass Beads - P12006,,yes
gid://shopify/Product/8129397030981,Chunky Rondelle Large Hole Lampwork Glass Beads - P12015,,yes
gid://shopify/Product/8129398571077,Chunky Rondelle Large Hole Lampwork Glass Beads - P12016,,yes
gid://shopify/Product/8129401356357,Chunky Rondelle Large Hole Lampwork Glass Beads - P12021,,yes
gid://shopify/Product/8129403093061,Chunky Rondelle Large Hole Lampwork Glass Beads - P12022,,yes
gid://shopify/Product/8129404600389,Chunky Rondelle Large Hole Lampwork Glass Beads - P12024,,yes
gid://shopify/Product/8129405354053,Chunky Rondelle Large Hole Lampwork Glass Beads - P12025,,yes
gid://shopify/Product/8129406599237,Chunky Rondelle Large Hole Lampwork Glass Beads - P12026,,yes
gid://shopify/Product/8129407549509,Chunky Rondelle Large Hole Lampwork Glass Beads - P12027,,yes
gid://shopify/Product/8129409417285,Chunky Rondelle Large Hole Lampwork Glass Beads - P12031,,yes
gid://shopify/Product/8129410203717,Chunky Rondelle Large Hole Lampwork Glass Beads - P12032,,yes
gid://shopify/Product/8129410826309,Chunky Rondelle Large Hole Lampwork Glass Beads - P12034,,yes
gid://shopify/Product/8129411350597,Chunky Rondelle Large Hole Lampwork Glass Beads - P12036,,yes
gid://shopify/Product/8129412235333,Chunky Rondelle Large Hole Lampwork Glass Beads - P12039,,yes
gid://shopify/Product/8129413185605,Chunky Rondelle Large Hole Lampwork Glass Beads - P12042,,yes
gid://shopify/Product/8129413939269,Chunky Rondelle Large Hole Lampwork Glass Beads - P12047,,yes
gid://shopify/Product/8129420165189,Chunky Rondelle Large Hole Lampwork Glass Beads - P12050,,yes
gid://shopify/Product/8129421279301,Chunky Rondelle Large Hole Lampwork Glass Beads - P12051,,yes
gid://shopify/Product/8129422295109,Chunky Rondelle Large Hole Lampwork Glass Beads - P12058,,yes
gid://shopify/Product/8129423343685,Chunky Rondelle Large Hole Lampwork Glass Beads - P12060,,yes
gid://shopify/Product/8129424162885,Chunky Rondelle Large Hole Lampwork Glass Beads - P12063,,yes
gid://shopify/Product/8129424785477,Chunky Rondelle Large Hole Lampwork Glass Beads - P12066,,yes
gid://shopify/Product/8129426882629,Chunky Rondelle Large Hole Lampwork Glass Beads - P12069,,yes
gid://shopify/Product/8129428095045,Chunky Rondelle Large Hole Lampwork Glass Beads - P12070,,yes
gid://shopify/Product/8129428881477,Chunky Rondelle Large Hole Lampwork Glass Beads - P12071,,yes
gid://shopify/Product/8129430159429,Chunky Rondelle Large Hole Lampwork Glass Beads - P12072,,yes
gid://shopify/Product/8129431732293,Chunky Rondelle Large Hole Lampwork Glass Beads - P12073,,yes
gid://shopify/Product/8129432387653,Chunky Rondelle Large Hole Lampwork Glass Beads - P12075,,yes
gid://shopify/Product/8129433239621,Chunky Rondelle Large Hole Lampwork Glass Beads - P12077,,yes
gid://shopify/Product/8129434124357,Chunky Rondelle Large Hole Lampwork Glass Beads - P12081,,yes
gid://shopify/Product/8129435172933,Chunky Rondelle Large Hole Lampwork Glass Beads - P12082,,yes
gid://shopify/Product/8129438613573,Chunky Rondelle Large Hole Lampwork Glass Beads - P12088,,yes
gid://shopify/Product/8129440776261,Chunky Rondelle Large Hole Lampwork Glass Beads - P12091,,yes
gid://shopify/Product/8129446117445,Chunky Mix Multi-Shape Beads - PEACHTOPIA,,yes
gid://shopify/Product/8130464120901,Chunky Mix Multi-Shape Beads - CHROME,,yes
gid://shopify/Product/8130465300549,Chunky Mix Multi-Shape Beads - PURPLE IRIS INSIDE / BLUE IRIS OUTSIDE,,yes
gid://shopify/Product/8130466349125,Chunky Mix Multi-Shape Beads - CRYSTAL AB,,yes
gid://shopify/Product/8130467037253,Chunky Mix Multi-Shape Beads - MONTANA IRIS / PURPLE IRIS,,yes
gid://shopify/Product/8130467856453,Chunky Mix Multi-Shape Beads - CHROME INSIDE / AURUM OUTSIDE,,yes
gid://shopify/Product/8130469462085,Chunky Mix Multi-Shape Beads - RED IRIS BOTH SIDES,,yes
gid://shopify/Product/8130470346821,Chunky Mix Multi-Shape Beads - BLUE IRIS BOTH SIDES,,yes
gid://shopify/Product/8150946644037,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 6.5ss,,yes
gid://shopify/Product/8151078240325,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 8.5ss,,yes
gid://shopify/Product/8151079157829,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 12ss,,yes
gid://shopify/Product/8151081975877,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 14.5ss,,yes
gid://shopify/Product/8151084269637,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 16ss,,yes
gid://shopify/Product/8151084761157,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 18ss,,yes
gid://shopify/Product/8151086825541,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 29ss,,yes
gid://shopify/Product/8163312795717,Round Leather Cord - Black 0.5mm,,yes
gid://shopify/Product/8163415851077,Round Leather Cord - Black 1.0mm,,yes
gid://shopify/Product/8163416375365,Round Leather Cord - Black 2.0mm,,yes
gid://shopify/Product/8163420274757,Round Leather Cord - Black 3.0mm,,yes
gid://shopify/Product/8163426402373,Round Leather Cord - Natural 1.0mm,,yes
gid://shopify/Product/8163429613637,Round Leather Cord - Natural 2.0mm,,yes
gid://shopify/Product/8179065061445,Czech Glass Roller Beads 9mm CRYSTAL TRANSPARENT,,yes
gid://shopify/Product/8179065094213,Czech Glass Roller Beads 9mm CRYSTAL TRANSPARENT MATTE,,yes
gid://shopify/Product/8179065126981,Czech Glass Roller Beads 9mm LIGHT TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179065159749,Czech Glass Roller Beads 9mm TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179065192517,Czech Glass Roller Beads 9mm DARK TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179065225285,Czech Glass Roller Beads 9mm DARK TOPAZ TRANSPARENT MATTE,,yes
gid://shopify/Product/8179065258053,Czech Glass Roller Beads 9mm LIGHT SMOKE TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179065290821,Czech Glass Roller Beads 9mm SMOKE TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179065323589,Czech Glass Roller Beads 9mm ROOT BEER TRANSPARENT,,yes
gid://shopify/Product/8179065356357,Czech Glass Roller Beads 9mm TORTOISE SHELL,,yes
gid://shopify/Product/8179065389125,Czech Glass Roller Beads 9mm LIGHT AMETHYST TRANSPARENT,,yes
gid://shopify/Product/8179065421893,Czech Glass Roller Beads 9mm LIGHT AMETHYST TRANSPARENT MATTE,,yes
gid://shopify/Product/8179065454661,Czech Glass Roller Beads 9mm AMETHYST TRANSPARENT,,yes
gid://shopify/Product/8179065487429,Czech Glass Roller Beads 9mm DARK AMETHYST TRANSPARENT,,yes
gid://shopify/Product/8179065520197,Czech Glass Roller Beads 9mm LIGHT SAPPHIRE TRANSPARENT,,yes
gid://shopify/Product/8179065552965,Czech Glass Roller Beads 9mm SAPPHIRE TRANSPARENT MATTE,,yes
gid://shopify/Product/8179065585733,Czech Glass Roller Beads 9mm SAPPHIRE TRANSPARENT,,yes
gid://shopify/Product/8179065618501,Czech Glass Roller Beads 9mm COBALT TRANSPARENT,,yes
gid://shopify/Product/8179065651269,Czech Glass Roller Beads 9mm BLACK DIAMOND TRANSPARENT,,yes
gid://shopify/Product/8179065684037,Czech Glass Roller Beads 9mm EMERALD TRANSPARENT,,yes
gid://shopify/Product/8179065716805,Czech Glass Roller Beads 9mm DARK EMERALD TRANSPARENT,,yes
gid://shopify/Product/8179065749573,Czech Glass Roller Beads 9mm OLIVINE TRANSPARENT,,yes
gid://shopify/Product/8179065815109,Czech Glass Roller Beads 9mm DARK OLIVINE TRANSPARENT,,yes
gid://shopify/Product/8179065847877,Czech Glass Roller Beads 9mm LIGHT TEAL TRANSPARENT,,yes
gid://shopify/Product/8179065913413,Czech Glass Roller Beads 9mm TEAL TRANSPARENT,,yes
gid://shopify/Product/8179065946181,Czech Glass Roller Beads 9mm TEAL TRANSPARENT MATTE,,yes
gid://shopify/Product/8179065978949,Czech Glass Roller Beads 9mm LIGHT AQUAMARINE TRANSPARENT,,yes
gid://shopify/Product/8179066011717,Czech Glass Roller Beads 9mm AQUAMARINE TRANSPARENT,,yes
gid://shopify/Product/8179066044485,Czech Glass Roller Beads 9mm DARK AQUAMARINE TRANSPARENT,,yes
gid://shopify/Product/8179066077253,Czech Glass Roller Beads 9mm DARK INDICOLITE TRANSPARENT,,yes
gid://shopify/Product/8179066110021,Czech Glass Roller Beads 9mm PINK PEACH TRANSPARENT,,yes
gid://shopify/Product/8179066142789,Czech Glass Roller Beads 9mm PEACH TRANSPARENT,,yes
gid://shopify/Product/8179066175557,Czech Glass Roller Beads 9mm HYACINTH TRANSPARENT,,yes
gid://shopify/Product/8179066208325,Czech Glass Roller Beads 9mm DARK ORANGE TRANSPARENT,,yes
gid://shopify/Product/8179066241093,Czech Glass Roller Beads 9mm LIGHT SIAM RUBY TRANSPARENT,,yes
gid://shopify/Product/8179066273861,Czech Glass Roller Beads 9mm SIAM RUBY TRANSPARENT,,yes
gid://shopify/Product/8179066306629,Czech Glass Roller Beads 9mm DARK GARNET TRANSPARENT,,yes
gid://shopify/Product/8179066339397,Czech Glass Roller Beads 6mm CRYSTAL TRANSPARENT,,yes
gid://shopify/Product/8179066372165,Czech Glass Roller Beads 6mm LIGHT TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179066404933,Czech Glass Roller Beads 6mm TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179066437701,Czech Glass Roller Beads 6mm DARK TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179066503237,Czech Glass Roller Beads 6mm LIGHT SMOKE TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179066536005,Czech Glass Roller Beads 6mm SMOKE TOPAZ TRANSPARENT,,yes
gid://shopify/Product/8179066568773,Czech Glass Roller Beads 6mm LIGHT AMETHYST TRANSPARENT,,yes
gid://shopify/Product/8179066634309,Czech Glass Roller Beads 6mm AMETHYST TRANSPARENT,,yes
gid://shopify/Product/8179066667077,Czech Glass Roller Beads 6mm LIGHTER SAPPHIRE TRANSPARENT,,yes
gid://shopify/Product/8179066699845,Czech Glass Roller Beads 6mm SAPPHIRE TRANSPARENT,,yes
gid://shopify/Product/8179066732613,Czech Glass Roller Beads 6mm COBALT TRANSPARENT,,yes
gid://shopify/Product/8179066765381,Czech Glass Roller Beads 6mm SMOKE GREY TRANSPARENT,,yes
