id,title,seo_title,seo_description
gid://shopify/Product/8037956976709,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 8ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8057805340741,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 10ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8057814515781,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 12ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8057824280645,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 16ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8058334281797,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 20ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8058450149445,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs),Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 30ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8058589118533,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs),Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 34ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8058617069637,Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs),Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones – 40ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex Extra"
gid://shopify/Product/8058779238469,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Hot Fix Flatback Rhinestones – 8ss Elevate your jewelry, costume, and craft projects with Preciosa & Jablonex"
gid://shopify/Product/8059406450757,"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs)",Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss,"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Hot Fix Flatback Rhinestones – 10ss Elevate your jewelry, costume, and craft projects with Preciosa &"
